epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,841.332,0.75785,0.30078,0.87434,0.99835,1,0.995,0.97568,0.5214,0.20879,0.80635,0.000941734,0.000941734,0.000941734
158,846.398,0.76609,0.30119,0.87922,0.9976,1,0.995,0.98372,0.48991,0.2118,0.78891,0.000941,0.000941,0.000941
159,851.7,0.79061,0.31949,0.87792,0.99773,0.99904,0.995,0.98131,0.5056,0.20904,0.79305,0.000940262,0.000940262,0.000940262
160,857.804,0.79661,0.32542,0.89587,0.99785,1,0.995,0.97788,0.52505,0.20548,0.81713,0.000939519,0.000939519,0.000939519
161,863.114,0.75513,0.30996,0.87385,0.99793,1,0.995,0.97295,0.5207,0.21726,0.80437,0.000938772,0.000938772,0.000938772
162,868.318,0.8135,0.32198,0.88942,0.99859,1,0.995,0.97263,0.51879,0.21822,0.80744,0.00093802,0.00093802,0.00093802
163,873.957,0.80552,0.31478,0.88213,0.99809,1,0.995,0.97281,0.50903,0.21623,0.79584,0.000937265,0.000937265,0.000937265
164,879.416,0.78872,0.31611,0.88655,0.99803,1,0.995,0.98004,0.49411,0.2037,0.79405,0.000936505,0.000936505,0.000936505
165,885.135,0.78933,0.31686,0.89311,0.99844,1,0.995,0.97244,0.52633,0.21579,0.80829,0.000935741,0.000935741,0.000935741
166,890.816,0.77249,0.3043,0.88074,0.9989,1,0.995,0.98359,0.49689,0.20596,0.80189,0.000934973,0.000934973,0.000934973
167,895.801,0.77322,0.30276,0.87247,0.9975,1,0.995,0.98722,0.46757,0.19996,0.78842,0.0009342,0.0009342,0.0009342
168,900.541,0.78232,0.30063,0.8762,0.99776,1,0.995,0.98313,0.46653,0.19881,0.78687,0.000933423,0.000933423,0.000933423
169,905.307,0.78033,0.31136,0.87666,0.99782,1,0.995,0.98206,0.47857,0.2064,0.79022,0.000932642,0.000932642,0.000932642
170,910.818,0.76019,0.30383,0.87738,0.99838,1,0.995,0.98287,0.47571,0.19969,0.79516,0.000931857,0.000931857,0.000931857
171,916.644,0.72063,0.29831,0.86914,0.99869,0.99946,0.995,0.97302,0.4696,0.20058,0.78363,0.000931067,0.000931067,0.000931067
172,922.314,0.77572,0.30704,0.87904,0.99851,1,0.995,0.96633,0.53139,0.2123,0.80634,0.000930274,0.000930274,0.000930274
173,927.621,0.79753,0.31907,0.88786,0.99833,1,0.995,0.97416,0.48857,0.20529,0.79808,0.000929476,0.000929476,0.000929476
174,933.187,0.74376,0.30469,0.87705,0.99889,1,0.995,0.97822,0.46419,0.20618,0.79406,0.000928674,0.000928674,0.000928674
175,939.2,0.77579,0.31523,0.88323,0.99873,1,0.995,0.97796,0.46595,0.20649,0.79449,0.000927867,0.000927867,0.000927867
176,944.44,0.76226,0.30739,0.87786,0.99853,1,0.995,0.98019,0.47251,0.20072,0.80117,0.000927057,0.000927057,0.000927057
177,949.706,0.78462,0.31063,0.87444,0.99737,0.99995,0.995,0.97923,0.497,0.20604,0.80091,0.000926242,0.000926242,0.000926242
178,955.269,0.79842,0.30956,0.8914,0.99789,1,0.995,0.97924,0.50828,0.20289,0.80672,0.000925423,0.000925423,0.000925423
179,960.286,0.80107,0.30858,0.87574,0.99633,0.99921,0.995,0.97969,0.45326,0.20372,0.7897,0.000924601,0.000924601,0.000924601
180,965.206,0.82066,0.31434,0.87764,0.99115,1,0.995,0.97679,0.50278,0.20726,0.80956,0.000923774,0.000923774,0.000923774
181,970.761,0.80467,0.31298,0.8851,0.99857,1,0.995,0.97964,0.5005,0.19998,0.8009,0.000922942,0.000922942,0.000922942
182,975.877,0.75864,0.29288,0.87381,0.99845,1,0.995,0.97327,0.46351,0.19403,0.79106,0.000922107,0.000922107,0.000922107
183,981.172,0.79508,0.31181,0.88397,0.9987,1,0.995,0.97612,0.48087,0.19865,0.79432,0.000921268,0.000921268,0.000921268
184,985.795,0.76326,0.30025,0.86798,0.9989,1,0.995,0.97789,0.4579,0.19124,0.7856,0.000920424,0.000920424,0.000920424
185,991.724,0.70428,0.29042,0.86428,0.99897,1,0.995,0.98413,0.4613,0.19454,0.78927,0.000919576,0.000919576,0.000919576
